,Region,year,value,Age,type
112,Latin America,2011,1200000,Adults (15-49),People living with HIV
113,Middle East and North Africa,2011,150000,Adults (15-49),People living with HIV
114,West and Central Africa,2011,3400000,Adults (15-49),People living with HIV
115,Western & Central Europe and North America,2011,1100000,Adults (15-49),People living with HIV
116,Global,2011,25100000,Adults (15-49),People living with HIV
117,Asia and the Pacific,2012,4300000,Adults (15-49),People living with HIV
118,Caribbean,2012,240000,Adults (15-49),People living with HIV
119,East and Southern Africa,2012,14400000,Adults (15-49),People living with HIV
120,Eastern Europe and Central Asia,2012,790000,Adults (15-49),People living with HIV
121,Latin America,2012,1300000,Adults (15-49),People living with HIV
122,Middle East and North Africa,2012,150000,Adults (15-49),People living with HIV
123,West and Central Africa,2012,3500000,Adults (15-49),People living with HIV
124,Western & Central Europe and North America,2012,1100000,Adults (15-49),People living with HIV
125,Global,2012,25600000,Adults (15-49),People living with HIV
126,Asia and the Pacific,2013,4300000,Adults (15-49),People living with HIV
127,Caribbean,2013,240000,Adults (15-49),People living with HIV
128,East and Southern Africa,2013,14700000,Adults (15-49),People living with HIV
129,Eastern Europe and Central Asia,2013,850000,Adults (15-49),People living with HIV
130,Latin America,2013,1300000,Adults (15-49),People living with HIV
131,Middle East and North Africa,2013,160000,Adults (15-49),People living with HIV
132,West and Central Africa,2013,3500000,Adults (15-49),People living with HIV
133,Western & Central Europe and North America,2013,1100000,Adults (15-49),People living with HIV
134,Global,2013,26100000,Adults (15-49),People living with HIV
135,Asia and the Pacific,2014,4400000,Adults (15-49),People living with HIV
136,Caribbean,2014,240000,Adults (15-49),People living with HIV
137,East and Southern Africa,2014,15000000,Adults (15-49),People living with HIV
138,Eastern Europe and Central Asia,2014,910000,Adults (15-49),People living with HIV
139,Latin America,2014,1300000,Adults (15-49),People living with HIV
140,Middle East and North Africa,2014,160000,Adults (15-49),People living with HIV
141,West and Central Africa,2014,3500000,Adults (15-49),People living with HIV
142,Western & Central Europe and North America,2014,1100000,Adults (15-49),People living with HIV
143,Global,2014,26600000,Adults (15-49),People living with HIV
144,Asia and the Pacific,2015,4400000,Adults (15-49),People living with HIV
145,Caribbean,2015,240000,Adults (15-49),People living with HIV
146,East and Southern Africa,2015,15300000,Adults (15-49),People living with HIV
147,Eastern Europe and Central Asia,2015,980000,Adults (15-49),People living with HIV
148,Latin America,2015,1300000,Adults (15-49),People living with HIV
149,Middle East and North Africa,2015,170000,Adults (15-49),People living with HIV
150,West and Central Africa,2015,3500000,Adults (15-49),People living with HIV
151,Western & Central Europe and North America,2015,1100000,Adults (15-49),People living with HIV
152,Global,2015,27000000,Adults (15-49),People living with HIV
153,Asia and the Pacific,2016,4400000,Adults (15-49),People living with HIV
154,Caribbean,2016,240000,Adults (15-49),People living with HIV
155,East and Southern Africa,2016,15500000,Adults (15-49),People living with HIV
156,Eastern Europe and Central Asia,2016,1100000,Adults (15-49),People living with HIV
157,Latin America,2016,1400000,Adults (15-49),People living with HIV
158,Middle East and North Africa,2016,170000,Adults (15-49),People living with HIV
159,West and Central Africa,2016,3600000,Adults (15-49),People living with HIV
160,Western & Central Europe and North America,2016,1100000,Adults (15-49),People living with HIV
161,Global,2016,27400000,Adults (15-49),People living with HIV
162,Asia and the Pacific,2017,4400000,Adults (15-49),People living with HIV
163,Caribbean,2017,240000,Adults (15-49),People living with HIV
164,East and Southern Africa,2017,15700000,Adults (15-49),People living with HIV
165,Eastern Europe and Central Asia,2017,1100000,Adults (15-49),People living with HIV
166,Latin America,2017,1400000,Adults (15-49),People living with HIV
167,Middle East and North Africa,2017,180000,Adults (15-49),People living with HIV
168,West and Central Africa,2017,3600000,Adults (15-49),People living with HIV
169,Western & Central Europe and North America,2017,1000000,Adults (15-49),People living with HIV
170,Global,2017,27700000,Adults (15-49),People living with HIV
171,Asia and the Pacific,2018,4400000,Adults (15-49),People living with HIV
172,Caribbean,2018,240000,Adults (15-49),People living with HIV
173,East and Southern Africa,2018,15800000,Adults (15-49),People living with HIV
174,Eastern Europe and Central Asia,2018,1200000,Adults (15-49),People living with HIV
175,Latin America,2018,1400000,Adults (15-49),People living with HIV
176,Middle East and North Africa,2018,180000,Adults (15-49),People living with HIV
177,West and Central Africa,2018,3600000,Adults (15-49),People living with HIV
178,Western & Central Europe and North America,2018,1000000,Adults (15-49),People living with HIV
179,Global,2018,28000000,Adults (15-49),People living with HIV
180,Asia and the Pacific,2019,4500000,Adults (15-49),People living with HIV
181,Caribbean,2019,240000,Adults (15-49),People living with HIV
182,East and Southern Africa,2019,15900000,Adults (15-49),People living with HIV
183,Eastern Europe and Central Asia,2019,1300000,Adults (15-49),People living with HIV
184,Latin America,2019,1500000,Adults (15-49),People living with HIV
185,Middle East and North Africa,2019,190000,Adults (15-49),People living with HIV
186,West and Central Africa,2019,3600000,Adults (15-49),People living with HIV
187,Western & Central Europe and North America,2019,1000000,Adults (15-49),People living with HIV
188,Global,2019,28200000,Adults (15-49),People living with HIV
0,Asia and the Pacific,1999,110000,Childern (0-19),People living with HIV
1,Caribbean,1999,18000,Childern (0-19),People living with HIV
2,East and Southern Africa,1999,1200000,Childern (0-19),People living with HIV
4,Latin America,1999,30000,Childern (0-19),People living with HIV
5,Middle East and North Africa,1999,4500,Childern (0-19),People living with HIV
6,West and Central Africa,1999,440000,Childern (0-19),People living with HIV
8,Global,1999,1800000,Childern (0-19),People living with HIV
9,Asia and the Pacific,2000,120000,Childern (0-19),People living with HIV
10,Caribbean,2000,19000,Childern (0-19),People living with HIV
11,East and Southern Africa,2000,1300000,Childern (0-19),People living with HIV
13,Latin America,2000,32000,Childern (0-19),People living with HIV
14,Middle East and North Africa,2000,5100,Childern (0-19),People living with HIV
15,West and Central Africa,2000,470000,Childern (0-19),People living with HIV
17,Global,2000,1900000,Childern (0-19),People living with HIV
18,Asia and the Pacific,2001,130000,Childern (0-19),People living with HIV
19,Caribbean,2001,20000,Childern (0-19),People living with HIV
20,East and Southern Africa,2001,1400000,Childern (0-19),People living with HIV
22,Latin America,2001,34000,Childern (0-19),People living with HIV
23,Middle East and North Africa,2001,5700,Childern (0-19),People living with HIV
24,West and Central Africa,2001,500000,Childern (0-19),People living with HIV
26,Global,2001,2000000,Childern (0-19),People living with HIV
27,Asia and the Pacific,2002,130000,Childern (0-19),People living with HIV
28,Caribbean,2002,20000,Childern (0-19),People living with HIV
29,East and Southern Africa,2002,1400000,Childern (0-19),People living with HIV
31,Latin America,2002,36000,Childern (0-19),People living with HIV
32,Middle East and North Africa,2002,6300,Childern (0-19),People living with HIV
33,West and Central Africa,2002,520000,Childern (0-19),People living with HIV
35,Global,2002,2200000,Childern (0-19),People living with HIV
36,Asia and the Pacific,2003,140000,Childern (0-19),People living with HIV
37,Caribbean,2003,20000,Childern (0-19),People living with HIV
38,East and Southern Africa,2003,1500000,Childern (0-19),People living with HIV
40,Latin America,2003,38000,Childern (0-19),People living with HIV
41,Middle East and North Africa,2003,6900,Childern (0-19),People living with HIV
42,West and Central Africa,2003,540000,Childern (0-19),People living with HIV
44,Global,2003,2200000,Childern (0-19),People living with HIV
45,Asia and the Pacific,2004,150000,Childern (0-19),People living with HIV
46,Caribbean,2004,20000,Childern (0-19),People living with HIV
47,East and Southern Africa,2004,1500000,Childern (0-19),People living with HIV
49,Latin America,2004,39000,Childern (0-19),People living with HIV
50,Middle East and North Africa,2004,7400,Childern (0-19),People living with HIV
51,West and Central Africa,2004,560000,Childern (0-19),People living with HIV
53,Global,2004,2300000,Childern (0-19),People living with HIV
54,Asia and the Pacific,2005,150000,Childern (0-19),People living with HIV
55,Caribbean,2005,20000,Childern (0-19),People living with HIV
56,East and Southern Africa,2005,1600000,Childern (0-19),People living with HIV
58,Latin America,2005,40000,Childern (0-19),People living with HIV
59,Middle East and North Africa,2005,7800,Childern (0-19),People living with HIV
60,West and Central Africa,2005,570000,Childern (0-19),People living with HIV
62,Global,2005,2400000,Childern (0-19),People living with HIV
63,Asia and the Pacific,2006,150000,Childern (0-19),People living with HIV
64,Caribbean,2006,20000,Childern (0-19),People living with HIV
65,East and Southern Africa,2006,1600000,Childern (0-19),People living with HIV
67,Latin America,2006,41000,Childern (0-19),People living with HIV
68,Middle East and North Africa,2006,8200,Childern (0-19),People living with HIV
69,West and Central Africa,2006,570000,Childern (0-19),People living with HIV
71,Global,2006,2400000,Childern (0-19),People living with HIV
72,Asia and the Pacific,2007,150000,Childern (0-19),People living with HIV
73,Caribbean,2007,19000,Childern (0-19),People living with HIV
74,East and Southern Africa,2007,1600000,Childern (0-19),People living with HIV
76,Latin America,2007,42000,Childern (0-19),People living with HIV
77,Middle East and North Africa,2007,8500,Childern (0-19),People living with HIV
78,West and Central Africa,2007,580000,Childern (0-19),People living with HIV
80,Global,2007,2400000,Childern (0-19),People living with HIV
81,Asia and the Pacific,2008,150000,Childern (0-19),People living with HIV
82,Caribbean,2008,18000,Childern (0-19),People living with HIV
83,East and Southern Africa,2008,1600000,Childern (0-19),People living with HIV
85,Latin America,2008,42000,Childern (0-19),People living with HIV
86,Middle East and North Africa,2008,8800,Childern (0-19),People living with HIV
87,West and Central Africa,2008,570000,Childern (0-19),People living with HIV
89,Global,2008,2400000,Childern (0-19),People living with HIV
90,Asia and the Pacific,2009,150000,Childern (0-19),People living with HIV
91,Caribbean,2009,18000,Childern (0-19),People living with HIV
92,East and Southern Africa,2009,1600000,Childern (0-19),People living with HIV
94,Latin America,2009,42000,Childern (0-19),People living with HIV
95,Middle East and North Africa,2009,9000,Childern (0-19),People living with HIV
96,West and Central Africa,2009,570000,Childern (0-19),People living with HIV
98,Global,2009,2400000,Childern (0-19),People living with HIV
99,Asia and the Pacific,2010,150000,Childern (0-19),People living with HIV
100,Caribbean,2010,17000,Childern (0-19),People living with HIV
101,East and Southern Africa,2010,1600000,Childern (0-19),People living with HIV
103,Latin America,2010,41000,Childern (0-19),People living with HIV
104,Middle East and North Africa,2010,9200,Childern (0-19),People living with HIV
105,West and Central Africa,2010,560000,Childern (0-19),People living with HIV
107,Global,2010,2400000,Childern (0-19),People living with HIV
108,Asia and the Pacific,2011,150000,Childern (0-19),People living with HIV
109,Caribbean,2011,17000,Childern (0-19),People living with HIV
110,East and Southern Africa,2011,1600000,Childern (0-19),People living with HIV
112,Latin America,2011,41000,Childern (0-19),People living with HIV
113,Middle East and North Africa,2011,9300,Childern (0-19),People living with HIV
114,West and Central Africa,2011,550000,Childern (0-19),People living with HIV
116,Global,2011,2400000,Childern (0-19),People living with HIV
117,Asia and the Pacific,2012,150000,Childern (0-19),People living with HIV
118,Caribbean,2012,16000,Childern (0-19),People living with HIV
119,East and Southern Africa,2012,1500000,Childern (0-19),People living with HIV
121,Latin America,2012,40000,Childern (0-19),People living with HIV
122,Middle East and North Africa,2012,9400,Childern (0-19),People living with HIV
123,West and Central Africa,2012,540000,Childern (0-19),People living with HIV
125,Global,2012,2300000,Childern (0-19),People living with HIV
126,Asia and the Pacific,2013,140000,Childern (0-19),People living with HIV
127,Caribbean,2013,15000,Childern (0-19),People living with HIV
128,East and Southern Africa,2013,1500000,Childern (0-19),People living with HIV
130,Latin America,2013,39000,Childern (0-19),People living with HIV
131,Middle East and North Africa,2013,9500,Childern (0-19),People living with HIV
132,West and Central Africa,2013,520000,Childern (0-19),People living with HIV
134,Global,2013,2200000,Childern (0-19),People living with HIV
135,Asia and the Pacific,2014,140000,Childern (0-19),People living with HIV
136,Caribbean,2014,14000,Childern (0-19),People living with HIV
137,East and Southern Africa,2014,1400000,Childern (0-19),People living with HIV
139,Latin America,2014,38000,Childern (0-19),People living with HIV
140,Middle East and North Africa,2014,9500,Childern (0-19),People living with HIV
141,West and Central Africa,2014,510000,Childern (0-19),People living with HIV
143,Global,2014,2200000,Childern (0-19),People living with HIV
144,Asia and the Pacific,2015,140000,Childern (0-19),People living with HIV
145,Caribbean,2015,14000,Childern (0-19),People living with HIV
146,East and Southern Africa,2015,1400000,Childern (0-19),People living with HIV
148,Latin America,2015,36000,Childern (0-19),People living with HIV
149,Middle East and North Africa,2015,9600,Childern (0-19),People living with HIV
150,West and Central Africa,2015,490000,Childern (0-19),People living with HIV
152,Global,2015,2100000,Childern (0-19),People living with HIV
153,Asia and the Pacific,2016,140000,Childern (0-19),People living with HIV
154,Caribbean,2016,13000,Childern (0-19),People living with HIV
155,East and Southern Africa,2016,1300000,Childern (0-19),People living with HIV
157,Latin America,2016,35000,Childern (0-19),People living with HIV
158,Middle East and North Africa,2016,9500,Childern (0-19),People living with HIV
159,West and Central Africa,2016,470000,Childern (0-19),People living with HIV
161,Global,2016,2000000,Childern (0-19),People living with HIV
162,Asia and the Pacific,2017,140000,Childern (0-19),People living with HIV
163,Caribbean,2017,13000,Childern (0-19),People living with HIV
164,East and Southern Africa,2017,1300000,Childern (0-19),People living with HIV
166,Latin America,2017,33000,Childern (0-19),People living with HIV
167,Middle East and North Africa,2017,9500,Childern (0-19),People living with HIV
168,West and Central Africa,2017,450000,Childern (0-19),People living with HIV
170,Global,2017,2000000,Childern (0-19),People living with HIV
171,Asia and the Pacific,2018,140000,Childern (0-19),People living with HIV
172,Caribbean,2018,12000,Childern (0-19),People living with HIV
173,East and Southern Africa,2018,1200000,Childern (0-19),People living with HIV
175,Latin America,2018,32000,Childern (0-19),People living with HIV
176,Middle East and North Africa,2018,9500,Childern (0-19),People living with HIV
177,West and Central Africa,2018,440000,Childern (0-19),People living with HIV
179,Global,2018,1900000,Childern (0-19),People living with HIV
180,Asia and the Pacific,2019,140000,Childern (0-19),People living with HIV
181,Caribbean,2019,11000,Childern (0-19),People living with HIV
182,East and Southern Africa,2019,1200000,Childern (0-19),People living with HIV
184,Latin America,2019,31000,Childern (0-19),People living with HIV
185,Middle East and North Africa,2019,9600,Childern (0-19),People living with HIV
186,West and Central Africa,2019,420000,Childern (0-19),People living with HIV
188,Global,2019,1800000,Childern (0-19),People living with HIV
0,Asia and the Pacific,1999,30000,People aged 50 and over,New HIV infections
1,Caribbean,1999,1500,People aged 50 and over,New HIV infections
2,East and Southern Africa,1999,58000,People aged 50 and over,New HIV infections
3,Eastern Europe and Central Asia,1999,3300,People aged 50 and over,New HIV infections
4,Latin America,1999,5800,People aged 50 and over,New HIV infections
5,Middle East and North Africa,1999,999,People aged 50 and over,New HIV infections
6,West and Central Africa,1999,27000,People aged 50 and over,New HIV infections
7,Western & Central Europe and North America,1999,5600,People aged 50 and over,New HIV infections
8,Global,1999,130000,People aged 50 and over,New HIV infections
9,Asia and the Pacific,2000,28000,People aged 50 and over,New HIV infections
10,Caribbean,2000,1400,People aged 50 and over,New HIV infections
11,East and Southern Africa,2000,57000,People aged 50 and over,New HIV infections
12,Eastern Europe and Central Asia,2000,3700,People aged 50 and over,New HIV infections
13,Latin America,2000,5800,People aged 50 and over,New HIV infections
14,Middle East and North Africa,2000,999,People aged 50 and over,New HIV infections
15,West and Central Africa,2000,25000,People aged 50 and over,New HIV infections
16,Western & Central Europe and North America,2000,5900,People aged 50 and over,New HIV infections
17,Global,2000,130000,People aged 50 and over,New HIV infections
18,Asia and the Pacific,2001,24000,People aged 50 and over,New HIV infections
19,Caribbean,2001,1400,People aged 50 and over,New HIV infections
20,East and Southern Africa,2001,56000,People aged 50 and over,New HIV infections
21,Eastern Europe and Central Asia,2001,4100,People aged 50 and over,New HIV infections
22,Latin America,2001,5900,People aged 50 and over,New HIV infections
23,Middle East and North Africa,2001,999,People aged 50 and over,New HIV infections
24,West and Central Africa,2001,24000,People aged 50 and over,New HIV infections
25,Western & Central Europe and North America,2001,6300,People aged 50 and over,New HIV infections
26,Global,2001,120000,People aged 50 and over,New HIV infections
27,Asia and the Pacific,2002,23000,People aged 50 and over,New HIV infections
28,Caribbean,2002,1400,People aged 50 and over,New HIV infections
29,East and Southern Africa,2002,55000,People aged 50 and over,New HIV infections
30,Eastern Europe and Central Asia,2002,4500,People aged 50 and over,New HIV infections
31,Latin America,2002,5800,People aged 50 and over,New HIV infections
32,Middle East and North Africa,2002,999,People aged 50 and over,New HIV infections
33,West and Central Africa,2002,22000,People aged 50 and over,New HIV infections
34,Western & Central Europe and North America,2002,6400,People aged 50 and over,New HIV infections
35,Global,2002,120000,People aged 50 and over,New HIV infections
36,Asia and the Pacific,2003,19000,People aged 50 and over,New HIV infections
37,Caribbean,2003,1300,People aged 50 and over,New HIV infections
38,East and Southern Africa,2003,55000,People aged 50 and over,New HIV infections
39,Eastern Europe and Central Asia,2003,5000,People aged 50 and over,New HIV infections
40,Latin America,2003,5700,People aged 50 and over,New HIV infections
41,Middle East and North Africa,2003,999,People aged 50 and over,New HIV infections
42,West and Central Africa,2003,21000,People aged 50 and over,New HIV infections
43,Western & Central Europe and North America,2003,6800,People aged 50 and over,New HIV infections
44,Global,2003,110000,People aged 50 and over,New HIV infections
45,Asia and the Pacific,2004,19000,People aged 50 and over,New HIV infections
46,Caribbean,2004,1300,People aged 50 and over,New HIV infections
47,East and Southern Africa,2004,55000,People aged 50 and over,New HIV infections
48,Eastern Europe and Central Asia,2004,5500,People aged 50 and over,New HIV infections
49,Latin America,2004,5500,People aged 50 and over,New HIV infections
50,Middle East and North Africa,2004,999,People aged 50 and over,New HIV infections
51,West and Central Africa,2004,20000,People aged 50 and over,New HIV infections
52,Western & Central Europe and North America,2004,7000,People aged 50 and over,New HIV infections
53,Global,2004,110000,People aged 50 and over,New HIV infections
54,Asia and the Pacific,2005,20000,People aged 50 and over,New HIV infections
55,Caribbean,2005,1200,People aged 50 and over,New HIV infections
56,East and Southern Africa,2005,55000,People aged 50 and over,New HIV infections
57,Eastern Europe and Central Asia,2005,6100,People aged 50 and over,New HIV infections
58,Latin America,2005,5800,People aged 50 and over,New HIV infections
59,Middle East and North Africa,2005,999,People aged 50 and over,New HIV infections
60,West and Central Africa,2005,19000,People aged 50 and over,New HIV infections
61,Western & Central Europe and North America,2005,7200,People aged 50 and over,New HIV infections
62,Global,2005,110000,People aged 50 and over,New HIV infections
63,Asia and the Pacific,2006,20000,People aged 50 and over,New HIV infections
64,Caribbean,2006,1200,People aged 50 and over,New HIV infections
65,East and Southern Africa,2006,55000,People aged 50 and over,New HIV infections
66,Eastern Europe and Central Asia,2006,6700,People aged 50 and over,New HIV infections
67,Latin America,2006,5500,People aged 50 and over,New HIV infections
68,Middle East and North Africa,2006,999,People aged 50 and over,New HIV infections
69,West and Central Africa,2006,19000,People aged 50 and over,New HIV infections
70,Western & Central Europe and North America,2006,7300,People aged 50 and over,New HIV infections
71,Global,2006,120000,People aged 50 and over,New HIV infections
72,Asia and the Pacific,2007,20000,People aged 50 and over,New HIV infections
73,Caribbean,2007,1200,People aged 50 and over,New HIV infections
74,East and Southern Africa,2007,55000,People aged 50 and over,New HIV infections
75,Eastern Europe and Central Asia,2007,7400,People aged 50 and over,New HIV infections
76,Latin America,2007,5700,People aged 50 and over,New HIV infections
77,Middle East and North Africa,2007,999,People aged 50 and over,New HIV infections
78,West and Central Africa,2007,18000,People aged 50 and over,New HIV infections
79,Western & Central Europe and North America,2007,7500,People aged 50 and over,New HIV infections
80,Global,2007,120000,People aged 50 and over,New HIV infections
81,Asia and the Pacific,2008,20000,People aged 50 and over,New HIV infections
82,Caribbean,2008,1200,People aged 50 and over,New HIV infections
83,East and Southern Africa,2008,55000,People aged 50 and over,New HIV infections
84,Eastern Europe and Central Asia,2008,8200,People aged 50 and over,New HIV infections
85,Latin America,2008,5800,People aged 50 and over,New HIV infections
86,Middle East and North Africa,2008,999,People aged 50 and over,New HIV infections
87,West and Central Africa,2008,18000,People aged 50 and over,New HIV infections
88,Western & Central Europe and North America,2008,7800,People aged 50 and over,New HIV infections
89,Global,2008,120000,People aged 50 and over,New HIV infections
90,Asia and the Pacific,2009,20000,People aged 50 and over,New HIV infections
91,Caribbean,2009,1200,People aged 50 and over,New HIV infections
92,East and Southern Africa,2009,55000,People aged 50 and over,New HIV infections
93,Eastern Europe and Central Asia,2009,9000,People aged 50 and over,New HIV infections
94,Latin America,2009,6000,People aged 50 and over,New HIV infections
95,Middle East and North Africa,2009,999,People aged 50 and over,New HIV infections
96,West and Central Africa,2009,18000,People aged 50 and over,New HIV infections
97,Western & Central Europe and North America,2009,7700,People aged 50 and over,New HIV infections
98,Global,2009,120000,People aged 50 and over,New HIV infections
99,Asia and the Pacific,2010,20000,People aged 50 and over,New HIV infections
100,Caribbean,2010,1200,People aged 50 and over,New HIV infections
101,East and Southern Africa,2010,55000,People aged 50 and over,New HIV infections
102,Eastern Europe and Central Asia,2010,9800,People aged 50 and over,New HIV infections
103,Latin America,2010,6100,People aged 50 and over,New HIV infections
104,Middle East and North Africa,2010,999,People aged 50 and over,New HIV infections
105,West and Central Africa,2010,17000,People aged 50 and over,New HIV infections
106,Western & Central Europe and North America,2010,7500,People aged 50 and over,New HIV infections
107,Global,2010,120000,People aged 50 and over,New HIV infections
108,Asia and the Pacific,2011,21000,People aged 50 and over,New HIV infections
109,Caribbean,2011,1200,People aged 50 and over,New HIV infections
110,East and Southern Africa,2011,54000,People aged 50 and over,New HIV infections
111,Eastern Europe and Central Asia,2011,11000,People aged 50 and over,New HIV infections
112,Latin America,2011,6600,People aged 50 and over,New HIV infections
113,Middle East and North Africa,2011,999,People aged 50 and over,New HIV infections
114,West and Central Africa,2011,17000,People aged 50 and over,New HIV infections
115,Western & Central Europe and North America,2011,7600,People aged 50 and over,New HIV infections
116,Global,2011,120000,People aged 50 and over,New HIV infections
117,Asia and the Pacific,2012,21000,People aged 50 and over,New HIV infections
118,Caribbean,2012,1200,People aged 50 and over,New HIV infections
119,East and Southern Africa,2012,53000,People aged 50 and over,New HIV infections
120,Eastern Europe and Central Asia,2012,12000,People aged 50 and over,New HIV infections
121,Latin America,2012,6800,People aged 50 and over,New HIV infections
122,Middle East and North Africa,2012,999,People aged 50 and over,New HIV infections
123,West and Central Africa,2012,16000,People aged 50 and over,New HIV infections
124,Western & Central Europe and North America,2012,7600,People aged 50 and over,New HIV infections
125,Global,2012,120000,People aged 50 and over,New HIV infections
126,Asia and the Pacific,2013,22000,People aged 50 and over,New HIV infections
127,Caribbean,2013,1200,People aged 50 and over,New HIV infections
128,East and Southern Africa,2013,51000,People aged 50 and over,New HIV infections
129,Eastern Europe and Central Asia,2013,13000,People aged 50 and over,New HIV infections
130,Latin America,2013,7300,People aged 50 and over,New HIV infections
131,Middle East and North Africa,2013,999,People aged 50 and over,New HIV infections
132,West and Central Africa,2013,16000,People aged 50 and over,New HIV infections
133,Western & Central Europe and North America,2013,7500,People aged 50 and over,New HIV infections
134,Global,2013,120000,People aged 50 and over,New HIV infections
135,Asia and the Pacific,2014,23000,People aged 50 and over,New HIV infections
136,Caribbean,2014,1200,People aged 50 and over,New HIV infections
137,East and Southern Africa,2014,49000,People aged 50 and over,New HIV infections
138,Eastern Europe and Central Asia,2014,14000,People aged 50 and over,New HIV infections
139,Latin America,2014,7600,People aged 50 and over,New HIV infections
140,Middle East and North Africa,2014,999,People aged 50 and over,New HIV infections
141,West and Central Africa,2014,15000,People aged 50 and over,New HIV infections
142,Western & Central Europe and North America,2014,7600,People aged 50 and over,New HIV infections
143,Global,2014,120000,People aged 50 and over,New HIV infections
144,Asia and the Pacific,2015,23000,People aged 50 and over,New HIV infections
145,Caribbean,2015,1200,People aged 50 and over,New HIV infections
146,East and Southern Africa,2015,48000,People aged 50 and over,New HIV infections
147,Eastern Europe and Central Asia,2015,15000,People aged 50 and over,New HIV infections
148,Latin America,2015,8100,People aged 50 and over,New HIV infections
149,Middle East and North Africa,2015,999,People aged 50 and over,New HIV infections
150,West and Central Africa,2015,15000,People aged 50 and over,New HIV infections
151,Western & Central Europe and North America,2015,7600,People aged 50 and over,New HIV infections
152,Global,2015,120000,People aged 50 and over,New HIV infections
153,Asia and the Pacific,2016,23000,People aged 50 and over,New HIV infections
154,Caribbean,2016,1200,People aged 50 and over,New HIV infections
155,East and Southern Africa,2016,47000,People aged 50 and over,New HIV infections
156,Eastern Europe and Central Asia,2016,16000,People aged 50 and over,New HIV infections
157,Latin America,2016,8000,People aged 50 and over,New HIV infections
158,Middle East and North Africa,2016,999,People aged 50 and over,New HIV infections
159,West and Central Africa,2016,15000,People aged 50 and over,New HIV infections
160,Western & Central Europe and North America,2016,7400,People aged 50 and over,New HIV infections
161,Global,2016,120000,People aged 50 and over,New HIV infections
162,Asia and the Pacific,2017,23000,People aged 50 and over,New HIV infections
163,Caribbean,2017,1100,People aged 50 and over,New HIV infections
164,East and Southern Africa,2017,45000,People aged 50 and over,New HIV infections
165,Eastern Europe and Central Asia,2017,17000,People aged 50 and over,New HIV infections
166,Latin America,2017,8300,People aged 50 and over,New HIV infections
167,Middle East and North Africa,2017,999,People aged 50 and over,New HIV infections
168,West and Central Africa,2017,14000,People aged 50 and over,New HIV infections
169,Western & Central Europe and North America,2017,7100,People aged 50 and over,New HIV infections
170,Global,2017,120000,People aged 50 and over,New HIV infections
171,Asia and the Pacific,2018,22000,People aged 50 and over,New HIV infections
172,Caribbean,2018,1100,People aged 50 and over,New HIV infections
173,East and Southern Africa,2018,43000,People aged 50 and over,New HIV infections
174,Eastern Europe and Central Asia,2018,18000,People aged 50 and over,New HIV infections
175,Latin America,2018,8600,People aged 50 and over,New HIV infections
176,Middle East and North Africa,2018,1000,People aged 50 and over,New HIV infections
177,West and Central Africa,2018,14000,People aged 50 and over,New HIV infections
178,Western & Central Europe and North America,2018,7000,People aged 50 and over,New HIV infections
179,Global,2018,120000,People aged 50 and over,New HIV infections
180,Asia and the Pacific,2019,23000,People aged 50 and over,New HIV infections
181,Caribbean,2019,1000,People aged 50 and over,New HIV infections
182,East and Southern Africa,2019,42000,People aged 50 and over,New HIV infections
183,Eastern Europe and Central Asia,2019,19000,People aged 50 and over,New HIV infections
184,Latin America,2019,8900,People aged 50 and over,New HIV infections
185,Middle East and North Africa,2019,1100,People aged 50 and over,New HIV infections
186,West and Central Africa,2019,13000,People aged 50 and over,New HIV infections
187,Western & Central Europe and North America,2019,7000,People aged 50 and over,New HIV infections
188,Global,2019,120000,People aged 50 and over,New HIV infections
0,Asia and the Pacific,1999,440000,Adults (15-49),New HIV infections
1,Caribbean,1999,22000,Adults (15-49),New HIV infections
2,East and Southern Africa,1999,1200000,Adults (15-49),New HIV infections
3,Eastern Europe and Central Asia,1999,52000,Adults (15-49),New HIV infections
4,Latin America,1999,100000,Adults (15-49),New HIV infections
5,Middle East and North Africa,1999,12000,Adults (15-49),New HIV infections
6,West and Central Africa,1999,310000,Adults (15-49),New HIV infections
7,Western & Central Europe and North America,1999,67000,Adults (15-49),New HIV infections
8,Global,1999,2200000,Adults (15-49),New HIV infections
9,Asia and the Pacific,2000,420000,Adults (15-49),New HIV infections
10,Caribbean,2000,21000,Adults (15-49),New HIV infections
11,East and Southern Africa,2000,1100000,Adults (15-49),New HIV infections
12,Eastern Europe and Central Asia,2000,55000,Adults (15-49),New HIV infections
13,Latin America,2000,100000,Adults (15-49),New HIV infections
14,Middle East and North Africa,2000,14000,Adults (15-49),New HIV infections
15,West and Central Africa,2000,300000,Adults (15-49),New HIV infections
16,Western & Central Europe and North America,2000,69000,Adults (15-49),New HIV infections
17,Global,2000,2100000,Adults (15-49),New HIV infections
18,Asia and the Pacific,2001,380000,Adults (15-49),New HIV infections
19,Caribbean,2001,21000,Adults (15-49),New HIV infections
20,East and Southern Africa,2001,1100000,Adults (15-49),New HIV infections
21,Eastern Europe and Central Asia,2001,57000,Adults (15-49),New HIV infections
22,Latin America,2001,100000,Adults (15-49),New HIV infections
23,Middle East and North Africa,2001,14000,Adults (15-49),New HIV infections
24,West and Central Africa,2001,280000,Adults (15-49),New HIV infections
25,Western & Central Europe and North America,2001,70000,Adults (15-49),New HIV infections
26,Global,2001,2000000,Adults (15-49),New HIV infections
